sp_code,DE,LMA,Nmass,Aarea,Rdmass
BROHOR,NA,35.481,2.673,NA,NA
BROLAN,D,40.738,2.198,9.55,NA
BROMAD,NA,28.184,2.168,NA,NA
BUPRIG,D,81.283,1.622,20.893,NA
BUXSEM,E,162.181,1.459,5.37,NA
CALNEP,E,38.019,2.624,9.12,NA
CARHAL,D,72.444,1.862,10.471,NA
CATCOE,D,63.096,2.032,23.442,NA
CLEVIT,NA,51.286,2.748,NA,NA
CONARV,NA,38.019,2.884,NA,NA
CRAMON,D,95.499,1.596,NA,NA
CRESAN,NA,30.903,1.837,NA,NA
CREVES,NA,38.905,2.128,NA,NA
DACGLO,D,45.709,3.02,5.888,NA
DAUCAR,D,56.234,2.523,15.488,NA
DORHIR,D,47.863,3.192,13.183,NA
DORPEN,D,69.183,2.661,NA,NA
ECHRIT,D,85.114,2.692,18.197,NA
ERYCAM,D,97.724,2.158,21.878,NA
HELNUM,E,64.565,2.265,9.333,NA
HORMUR,NA,33.884,3.048,NA,NA
JUNOXY,E,141.254,0.839,3.548,NA
KICSPU,NA,29.512,2.104,NA,NA
LAVLAT,E,93.325,1.718,4.266,NA
LOLRIG,NA,39.811,2.477,NA,NA
LONETR,NA,66.069,1.82,NA,NA
LOTCOR,NA,47.863,3.069,NA,NA
MEDMIN,D,45.709,3.75,11.22,NA
PHILAT,E,109.648,1.807,NA,NA
PHLPRA,D,40.738,2.46,5.754,NA
PISTER,D,97.724,2.113,11.749,NA
PLALAN,D,60.256,2.032,NA,NA
POTCRA,D,81.283,1.807,19.055,NA
PRUMAH,D,77.625,2.208,13.804,NA
PRUSPI,D,81.283,1.901,12.589,NA
PSOBIT,NA,50.119,4.207,NA,NA
QUEILE,E,169.824,1.3,9.12,NA
QUEPUB,D,109.648,2.014,7.943,NA
ROSMIC,D,77.625,1.901,12.882,NA
RUBPER,E,53.703,2.061,NA,NA
RUBSP,D,81.283,1.862,NA,NA
RUSACU,NA,54.954,2.692,NA,NA
SANMIN,D,51.286,2.099,10.715,NA
SCAATR,NA,83.176,2.477,NA,NA
STAOFF,NA,60.256,2.075,NA,NA
TEUCHA,E,77.625,1.991,4.074,NA
THYVUL,E,79.433,1.977,6.607,NA
TRIANG,NA,45.709,3.251,NA,NA
URODAL,NA,41.687,2.089,NA,NA
VIBTIN,E,83.176,1.094,NA,NA
VIOSCO,D,47.863,1.959,8.511,NA
VULCIL,NA,26.303,2.089,NA,NA
XERINA,D,28.184,3.148,10.471,NA
CISMON,E,134.896,2.089,23.988,NA
CNETRI,E,100,2.009,10.715,NA
HYPBAL,E,117.49,2.449,10.715,NA
PHILAT,E,120.226,1.778,12.589,NA
PINHAL,E,125.893,1.3,7.586,NA
PISLEN,E,208.93,1.409,12.589,NA
RHALUD,E,165.959,1.82,9.55,NA
URGMAR,NA,109.648,3.112,12.303,NA
ARBUNE,E,165.959,1.191,9.12,NA
CISALB,E,109.648,1.941,16.596,NA
CISSAL,E,134.896,1.849,19.498,NA
QUECOC,E,169.824,1.199,10,NA
QUEILE,E,194.984,1.57,11.482,NA
RHAALA,E,151.356,2.018,10.233,NA
ACEOPA,D,56.234,3.273,7.413,NA
AVECRA,NA,91.201,2.218,13.49,NA
CAPSPI,D,77.625,4.721,27.542,NA
CEPSQU,E,114.815,2.291,19.498,NA
CRETRI,E,53.703,3.311,15.136,NA
DELPIC,NA,56.234,3.908,18.197,NA
DIARUP,NA,114.815,2.028,16.218,NA
EUPMAR,E,79.433,3.673,13.183,NA
GLOCAM,E,158.489,1.629,16.596,NA
LIGHUT,E,39.811,4.15,15.488,NA
LIMMIG,E,107.152,2.472,16.596,NA
PHLITA,E,109.648,2.089,19.953,NA
PISTER,D,134.896,2.818,20.417,NA
PTEAQU,NA,107.152,2.148,12.303,NA
SILMOL,E,69.183,3.656,14.454,NA
URTATR,NA,43.652,4.074,15.488,NA
VIOJAU,E,52.481,3.648,11.22,NA
VIOSTO,E,38.905,4.188,12.589,NA
VIOX B,E,63.096,2.692,11.749,NA
AMABLI,NA,54.954,4.315,33.884,NA
AMARET,NA,58.884,2.553,19.953,NA
ANAFOE,D,95.499,3.724,21.38,NA
ATRHAL,E,87.096,5.2,21.878,NA
BETVUL,NA,51.286,3.811,22.387,NA
CERSIL,E,251.189,1.429,13.183,NA
CHEALB,NA,67.608,4.198,26.303,NA
CICINT,NA,34.674,3.548,18.621,NA
CONARV,NA,41.687,5.47,17.378,NA
DATSTR,NA,47.863,5.715,28.84,NA
DITVIS,NA,53.703,3.396,16.596,NA
FRAANG,D,112.202,2.371,22.909,NA
HELLIV,E,169.824,1.69,12.882,NA
HELFOE,E,169.824,1.66,11.482,NA
LAVDEN,E,79.433,2.46,23.988,NA
LAVCRE,NA,47.863,5.035,28.84,NA
PAECAM,NA,114.815,1.742,12.023,NA
POPALB,D,91.201,2.35,16.596,NA
QUEHUM,D,104.713,2.729,16.596,NA
VERSIN,NA,72.444,2.08,25.119,NA
VITAGN,D,83.176,3.342,22.387,NA
CASSIE,E,120.226,1.005,6.026,NA
QUEACU,E,112.202,0.794,5.623,NA
CAMJAP,E,102.329,1.014,7.413,NA
CLEJAP,E,104.713,1.148,7.413,NA
CINJAP,E,112.202,0.977,4.677,NA
NEOSER,E,95.499,1.05,3.89,NA
ILLANI,E,57.544,1.253,3.802,NA
MAEJAP,E,81.283,1.104,5.012,NA
BOESP,E,54.954,2.5,5.495,NA
SYZSP1,E,66.069,1.479,3.388,NA
MACTRI,E,34.674,3.273,7.943,NA
